DATE,CANCPIALLQINMEI
1960-01-01,12.220173821438
1960-04-01,12.2465104029497
1960-07-01,12.2465104029497
1960-10-01,12.40452989202
1961-01-01,12.40452989202
1961-04-01,12.40452989202
1961-07-01,12.40452989202
1961-10-01,12.40452989202
1962-01-01,12.40452989202
1962-04-01,12.5098762180669
1962-07-01,12.5888859626021
1962-10-01,12.6415591256255
1963-01-01,12.6415591256255
1963-04-01,12.6415591256255
1963-07-01,12.8259151962075
1963-10-01,12.8522517777193
1964-01-01,12.878588359231
1964-04-01,12.9575981037661
1964-07-01,13.0366078483013
1964-10-01,13.062944429813
1965-01-01,13.1156175928364
1965-04-01,13.2473005003951
1965-07-01,13.3526468264419
1965-10-01,13.4316565709771
1966-01-01,13.5896760600474
1966-04-01,13.7740321306294
1966-07-01,13.8793784566763
1966-10-01,13.9320516196998
1967-01-01,14.0110613642349
1967-04-01,14.2217540163287
1967-07-01,14.4324466684224
1967-10-01,14.4851198314459
1968-01-01,14.6431393205162
1968-04-01,14.7221490650514
1968-07-01,14.9855148801686
1968-10-01,15.1171977877272
1969-01-01,15.1962075322623
1969-04-01,15.512246510403
1969-07-01,15.696602580985
1969-10-01,15.7756123255201
1970-01-01,15.9599683961022
1970-04-01,16.0389781406373
1970-07-01,16.1706610481959
1970-10-01,16.0916513036608
1971-01-01,16.1706610481959
1971-04-01,16.3813537002897
1971-07-01,16.6710560969186
1971-10-01,16.7764024229655
1972-01-01,16.9870950750593
1972-04-01,17.1451145641296
1972-07-01,17.5138267052937
1972-10-01,17.6455096128522
1973-01-01,17.9615485909929
1973-04-01,18.3565973136687
1973-07-01,18.9096655254148
1973-10-01,19.2520410850672
1974-01-01,19.6997629707664
1974-04-01,20.3845140900711
1974-07-01,20.9902554648407
1974-10-01,21.5959968396102
1975-01-01,21.991045562286
1975-04-01,22.5177771925204
1975-07-01,23.2552014748486
1975-10-01,23.7292599420595
1976-01-01,24.0716355017119
1976-04-01,24.4140110613642
1976-07-01,24.7827232025283
1976-10-01,25.1250987621807
1977-01-01,25.6518303924151
1977-04-01,26.3102449302081
1977-07-01,26.8633131419542
1977-10-01,27.4163813537003
1978-01-01,27.9694495654464
1978-04-01,28.6278641032394
1978-07-01,29.3389518040558
1978-10-01,29.8393468527785
1979-01-01,30.4714248090598
1979-04-01,31.3141954174348
1979-07-01,31.9199367922044
1979-10-01,32.6573610745325
1980-01-01,33.368448775349
1980-04-01,34.2902291282592
1980-07-01,35.2646826441928
1980-10-01,36.2391361601264
1981-01-01,37.4769554911772
1981-04-01,38.5830919146695
1981-07-01,39.7419015011852
1981-10-01,40.7163550171188
1982-01-01,41.7434816960759
1982-04-01,43.0339741901501
1982-07-01,43.9557545430603
1982-10-01,44.640505662365
1983-01-01,44.9565446405057
1983-04-01,45.5622860152752
1983-07-01,46.2997102976034
1983-10-01,46.7210956017909
1984-01-01,47.274163813537
1984-04-01,47.6692125362128
1984-07-01,48.0642612588886
1984-10-01,48.4329734000527
1985-01-01,48.9860416117988
1985-04-01,49.5654464050566
1985-07-01,50.0395048722676
1985-10-01,50.4345535949434
1986-01-01,51.0929681327364
1986-04-01,51.5143534369239
1986-07-01,52.1200948116934
1986-10-01,52.6468264419278
1987-01-01,53.1472214906505
1987-04-01,53.9109823544904
1987-07-01,54.4903871477482
1987-10-01,54.8590992889123
1988-01-01,55.3331577561233
1988-04-01,56.0442454569397
1988-07-01,56.6499868317092
1988-10-01,57.0977087174085
1989-01-01,57.8087964182249
1989-04-01,58.8095865156703
1989-07-01,59.6523571240453
1989-10-01,60.0737424282328
1990-01-01,60.9428496181196
1990-04-01,61.5222544113774
1990-07-01,62.127995786147
1990-10-01,63.0497761390572
1991-01-01,64.8670002633658
1991-04-01,65.3410587305768
1991-07-01,65.7361074532526
1991-10-01,65.6307611272057
1992-01-01,65.8941269423229
1992-04-01,66.2365025019752
1992-07-01,66.5262048986042
1992-10-01,66.8159072952331
1993-01-01,67.289965762444
1993-04-01,67.4216486700026
1993-07-01,67.6850144851198
1993-10-01,68.0273900447722
1994-01-01,67.6586779036081
1994-04-01,67.4216486700026
1994-07-01,67.7903608111667
1994-10-01,68.0010534632605
1995-01-01,68.6858045825652
1995-04-01,69.2388727943113
1995-07-01,69.3705557018699
1995-10-01,69.3968922833816
1996-01-01,69.6865946800106
1996-04-01,70.2396628917567
1996-07-01,70.3450092178035
1996-10-01,70.766394521991
1997-01-01,71.1614432446668
1997-04-01,71.3721358967606
1997-07-01,71.5564919673426
1997-10-01,71.5038188043192
1998-01-01,71.898867526995
1998-04-01,72.083223597577
1998-07-01,72.1622333421122
1998-10-01,72.2939162496708
1999-01-01,72.4519357387411
1999-04-01,73.2420331840927
1999-07-01,73.7424282328154
1999-10-01,74.0057940479326
2000-01-01,74.3745061890966
2000-04-01,75.0329207268896
2000-07-01,75.7440084277061
2000-10-01,76.2707400579405
2001-01-01,76.4287595470108
2001-04-01,77.7192520410851
2001-07-01,77.7982617856202
2001-10-01,77.0871740848038
2002-01-01,77.6139057150382
2002-04-01,78.7727153015539
2002-07-01,79.6154859099289
2002-10-01,80.0105346326047
2003-01-01,81.0903344745852
2003-04-01,80.9586515670266
2003-07-01,81.2746905451672
2003-10-01,81.4063734527258
2004-01-01,81.8277587569134
2004-04-01,82.7495391098236
2004-07-01,82.9075585988939
2004-10-01,83.276270740058
2005-01-01,83.5659731366869
2005-04-01,84.3297340005268
2005-07-01,85.0671582828549
2005-10-01,85.1198314458784
2006-01-01,85.5412167500659
2006-04-01,86.4893336844878
2006-07-01,86.5420068475112
2006-10-01,86.278641032394
2007-01-01,87.0950750592573
2007-04-01,88.3855675533316
2007-07-01,88.3855675533316
2007-10-01,88.3592309718199
2008-01-01,88.6489333684488
2008-04-01,90.4661574927574
2008-07-01,91.4142744271794
2008-10-01,90.0447721885699
2009-01-01,89.755069791941
2009-04-01,90.5188306557809
2009-07-01,90.6241769818278
2009-10-01,90.7558598893864
2010-01-01,91.2035817750856
2010-04-01,91.7829865683434
2010-07-01,92.2833816170661
2010-10-01,92.8101132473005
2011-01-01,93.5738741111404
2011-04-01,94.8643666052146
2011-07-01,95.0487226757967
2011-10-01,95.3120884909139
2012-01-01,95.7598103766131
2012-04-01,96.3655517513827
2012-07-01,96.2075322623124
2012-10-01,96.2075322623124
2013-01-01,96.6289175664999
2013-04-01,97.1029760337108
2013-07-01,97.3136686858046
2013-10-01,97.1029760337108
2014-01-01,97.9720832235976
2014-04-01,99.2625757176719
2014-07-01,99.341585462207
2014-10-01,98.972873321043
2015-01-01,99.0255464840664
2015-04-01,100.15801948907
2015-07-01,100.526731630234
2015-10-01,100.289702396629
2016-01-01,100.553068211746
2016-04-01,101.711877798262
2016-07-01,101.764550961285
2016-10-01,101.68554121675
2017-01-01,102.475638662102
2017-04-01,103.05504345536
2017-07-01,103.160389781406
2017-10-01,103.502765341059
2018-01-01,104.582565183039
2018-04-01,105.425335791414
2018-07-01,105.925730840137
2018-10-01,105.609691861996
2019-01-01,106.268106399789
2019-04-01,107.690281801422
2019-07-01,107.979984198051
2019-10-01,107.821964708981
2020-01-01,108.190676850145
2020-04-01,107.716618382934
2020-07-01,108.26968659468
2020-10-01,108.664735317356
2021-01-01,109.744535159336
2021-04-01,111.32473005004
2021-07-01,112.667895707137
2021-10-01,113.800368712141
2022-01-01,116.144324466684
2022-04-01,119.726099552278
2022-07-01,120.726889649723
